issue_key,bert_topic,bert_prob,existence,property,executive,issue_type,status
TIKA-3521,6,1.0,True,False,False,Task,Resolved
TIKA-3610,2,1.0,True,True,False,New Feature,Open
TIKA-3601,2,1.0,False,True,True,Improvement,Closed
TIKA-3584,6,1.0,True,False,False,Task,Open
TIKA-3558,2,1.0,False,True,True,Bug,Open
TIKA-3553,0,1.0,False,True,False,Task,Resolved
TIKA-3527,5,1.0,True,False,True,Task,Resolved
TIKA-3491,2,1.0,False,True,True,Bug,Open
TIKA-3488,2,1.0,False,True,True,Task,Resolved
TIKA-3448,2,1.0,False,True,True,Bug,Resolved
TIKA-3416,0,1.0,True,False,False,New Feature,Open
TIKA-3375,2,1.0,False,True,True,Wish,Open
TIKA-3370,6,1.0,False,True,False,Task,Resolved
TIKA-3352,5,1.0,True,False,False,Task,Resolved
TIKA-3348,0,1.0,True,False,False,Improvement,Open
TIKA-3325,0,1.0,True,False,False,Improvement,Resolved
TIKA-3313,6,1.0,False,True,False,Improvement,Resolved
TIKA-3304,6,1.0,False,True,False,Task,Resolved
TIKA-3301,6,1.0,False,True,False,Task,Resolved
TIKA-3270,0,1.0,True,False,False,Improvement,Resolved
TIKA-3242,3,1.0,False,True,False,Task,Resolved
TIKA-3237,4,1.0,False,True,False,Improvement,Resolved
TIKA-3236,2,1.0,False,True,True,Task,Resolved
TIKA-3232,2,1.0,False,True,True,Bug,Resolved
TIKA-3226,5,1.0,True,False,False,New Feature,Resolved
TIKA-3216,0,1.0,True,False,False,Task,Resolved
TIKA-3176,4,1.0,False,True,False,Improvement,Resolved
TIKA-3143,5,1.0,True,False,True,Task,Open
TIKA-3137,1,1.0,True,True,False,Task,Resolved
TIKA-3062,0,1.0,False,True,False,Task,Open
TIKA-3083,6,1.0,True,False,True,Task,Resolved
TIKA-3054,2,1.0,False,True,True,Bug,Resolved
TIKA-3053,2,1.0,False,True,True,Bug,Closed
TIKA-3019,2,1.0,False,True,True,Bug,Open
TIKA-3018,2,1.0,False,True,True,Bug,Closed
TIKA-2956,2,1.0,False,True,True,Bug,Resolved
TIKA-2953,2,1.0,False,True,True,Bug,Resolved
TIKA-2952,2,1.0,False,True,True,Bug,Resolved
TIKA-2930,1,1.0,True,False,False,Improvement,Open
TIKA-2890,2,1.0,False,True,True,Improvement,Resolved
TIKA-2885,2,1.0,False,True,True,Bug,Resolved
TIKA-2877,2,1.0,False,True,True,Bug,Resolved
