topic,term,score
0,test,0.1023
0,pdf,0.0911
0,type,0.0802
0,image,0.0684
0,file,0.0661
0,mime,0.0487
0,text,0.0471
0,byte,0.0438
0,detection,0.0402
0,user,0.0361
1,metadata,0.0821
1,property,0.0755
1,field,0.0536
1,parser,0.0496
1,content,0.0452
1,text,0.04
1,exif,0.0393
1,file,0.0374
1,document,0.0364
1,core,0.0362
2,version,0.1168
2,vulnerability,0.1156
2,log,0.1075
2,vulnerable,0.1063
2,jar,0.0696
2,security,0.0621
2,component,0.0603
2,data,0.0542
2,application,0.0478
2,source,0.0455
3,parser,0.11
3,metadata,0.099
3,document,0.0742
3,file,0.0517
3,configuration,0.0508
3,add,0.0462
3,class,0.0458
3,string,0.0455
3,stream,0.0431
3,parse,0.0408
4,parser,0.1624
4,java,0.0621
4,microsoft,0.0545
4,parse,0.0486
4,net,0.0414
4,instance,0.0404
4,task,0.0386
4,detector,0.0355
4,class,0.0349
4,content,0.0349
5,file,0.123
5,server,0.0947
5,url,0.0878
5,fetcher,0.0688
5,params,0.0605
5,endpoint,0.0588
5,emitter,0.055
5,path,0.048
5,add,0.0468
5,output,0.0455
6,process,0.1363
6,stream,0.1231
6,input,0.0897
6,separate,0.0797
6,processor,0.0753
6,child,0.0592
6,robust,0.0592
6,thread,0.0578
6,module,0.054
6,byte,0.0518
