issue_key,dominant_topic,dominant_prob,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob,topic_6_prob,topic_7_prob,topic_8_prob,topic_9_prob,existence,property,executive,issue_type,status
TIKA-3521,1,0.9972,0.0003,0.9972,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,True,False,False,Task,Resolved
TIKA-3610,4,0.997,0.0003,0.0003,0.0003,0.0003,0.997,0.0003,0.0003,0.0003,0.0003,0.0003,True,True,False,New Feature,Open
TIKA-3601,0,0.5953,0.5953,0.001,0.001,0.001,0.001,0.001,0.001,0.3967,0.001,0.001,False,True,True,Improvement,Closed
TIKA-3584,2,0.998,0.0002,0.0002,0.998,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,True,False,False,Task,Open
TIKA-3558,3,0.9974,0.0003,0.0003,0.0003,0.9974,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,False,True,True,Bug,Open
TIKA-3553,2,0.9968,0.0004,0.0004,0.9968,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,False,True,False,Task,Resolved
TIKA-3527,6,0.5425,0.0002,0.0002,0.0002,0.0002,0.2973,0.1589,0.5425,0.0002,0.0002,0.0002,True,False,True,Task,Resolved
TIKA-3491,7,0.6022,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.3953,0.6022,0.0003,0.0003,False,True,True,Bug,Open
TIKA-3488,1,0.4669,0.0004,0.4669,0.0004,0.0004,0.1374,0.0004,0.3932,0.0004,0.0004,0.0004,False,True,True,Task,Resolved
TIKA-3448,7,0.9985,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9985,0.0002,0.0002,False,True,True,Bug,Resolved
TIKA-3416,2,0.9992,1e-04,1e-04,0.9992,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,True,False,False,New Feature,Open
TIKA-3375,1,0.5187,0.0004,0.5187,0.0004,0.0004,0.0004,0.0004,0.0004,0.4785,0.0004,0.0004,False,True,True,Wish,Open
TIKA-3370,8,0.9987,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9987,1e-04,False,True,False,Task,Resolved
TIKA-3352,7,0.8207,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.8207,0.1782,1e-04,True,False,False,Task,Resolved
TIKA-3348,3,0.8315,1e-04,1e-04,0.1677,0.8315,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,True,False,False,Improvement,Open
TIKA-3325,2,0.997,0.0003,0.0003,0.997,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,True,False,False,Improvement,Resolved
TIKA-3313,3,0.999,1e-04,1e-04,1e-04,0.999,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,False,True,False,Improvement,Resolved
TIKA-3304,2,0.978,0.0024,0.0024,0.978,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,False,True,False,Task,Resolved
TIKA-3301,3,0.9983,0.0002,0.0002,0.0002,0.9983,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,False,True,False,Task,Resolved
TIKA-3270,2,0.5152,1e-04,1e-04,0.5152,1e-04,0.4837,1e-04,1e-04,1e-04,1e-04,1e-04,True,False,False,Improvement,Resolved
TIKA-3242,8,0.6571,0.0004,0.0004,0.0004,0.0004,0.0004,0.3399,0.0004,0.0004,0.6571,0.0004,False,True,False,Task,Resolved
TIKA-3237,1,0.9987,1e-04,0.9987,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,False,True,False,Improvement,Resolved
TIKA-3236,6,0.9873,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.9873,0.0014,0.0014,0.0014,False,True,True,Task,Resolved
TIKA-3232,6,0.998,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.998,0.0002,0.0002,0.0002,False,True,True,Bug,Resolved
TIKA-3226,5,0.9994,1e-04,1e-04,1e-04,1e-04,1e-04,0.9994,1e-04,1e-04,1e-04,1e-04,True,False,False,New Feature,Resolved
TIKA-3216,1,0.9979,0.0002,0.9979,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,True,False,False,Task,Resolved
TIKA-3176,9,0.995,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.995,False,True,False,Improvement,Resolved
