issue_key,dominant_topic,dominant_prob,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob,topic_6_prob,existence,property,executive,issue_type,status
TIKA-3521,1,0.9981,0.0003,0.9981,0.0003,0.0003,0.0003,0.0003,0.0003,True,False,False,Task,Resolved
TIKA-3610,5,0.998,0.0003,0.0003,0.0003,0.0003,0.0003,0.998,0.0003,True,True,False,New Feature,Open
TIKA-3601,3,0.5809,0.001,0.001,0.4141,0.5809,0.001,0.001,0.001,False,True,True,Improvement,Closed
TIKA-3584,1,0.9987,0.0002,0.9987,0.0002,0.0002,0.0002,0.0002,0.0002,True,False,False,Task,Open
TIKA-3558,4,0.7191,0.0003,0.0003,0.0003,0.2795,0.7191,0.0003,0.0003,False,True,True,Bug,Open
TIKA-3553,1,0.9979,0.0004,0.9979,0.0004,0.0004,0.0004,0.0004,0.0004,False,True,False,Task,Resolved
TIKA-3527,1,0.6115,0.0002,0.6115,0.0002,0.0002,0.3875,0.0002,0.0002,True,False,True,Task,Resolved
TIKA-3491,3,0.8415,0.1569,0.0003,0.0003,0.8415,0.0003,0.0003,0.0003,False,True,True,Bug,Open
TIKA-3488,3,0.9979,0.0004,0.0004,0.0004,0.9979,0.0004,0.0004,0.0004,False,True,True,Task,Resolved
TIKA-3448,3,0.9178,0.0002,0.0002,0.0002,0.9178,0.0002,0.0813,0.0002,False,True,True,Bug,Resolved
TIKA-3416,2,0.9994,1e-04,1e-04,0.9994,1e-04,1e-04,1e-04,1e-04,True,False,False,New Feature,Open
TIKA-3375,4,0.4618,0.0004,0.0004,0.2018,0.3349,0.4618,0.0004,0.0004,False,True,True,Wish,Open
TIKA-3370,1,0.9991,1e-04,0.9991,1e-04,1e-04,1e-04,1e-04,1e-04,False,True,False,Task,Resolved
TIKA-3352,4,0.9992,1e-04,1e-04,1e-04,1e-04,0.9992,1e-04,1e-04,True,False,False,Task,Resolved
TIKA-3348,4,0.9994,1e-04,1e-04,1e-04,1e-04,0.9994,1e-04,1e-04,True,False,False,Improvement,Open
TIKA-3325,1,0.998,0.0003,0.998,0.0003,0.0003,0.0003,0.0003,0.0003,True,False,False,Improvement,Resolved
TIKA-3313,0,0.9993,0.9993,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,False,True,False,Improvement,Resolved
TIKA-3304,0,0.9853,0.9853,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,False,True,False,Task,Resolved
TIKA-3301,4,0.9988,0.0002,0.0002,0.0002,0.0002,0.9988,0.0002,0.0002,False,True,False,Task,Resolved
TIKA-3270,1,0.9992,1e-04,0.9992,1e-04,1e-04,1e-04,1e-04,1e-04,True,False,False,Improvement,Resolved
TIKA-3242,1,0.9977,0.0004,0.9977,0.0004,0.0004,0.0004,0.0004,0.0004,False,True,False,Task,Resolved
TIKA-3237,4,0.9991,1e-04,1e-04,1e-04,1e-04,0.9991,1e-04,1e-04,False,True,False,Improvement,Resolved
TIKA-3236,2,0.3627,0.0014,0.2967,0.3627,0.335,0.0014,0.0014,0.0014,False,True,True,Task,Resolved
TIKA-3232,3,0.5709,0.0002,0.428,0.0002,0.5709,0.0002,0.0002,0.0002,False,True,True,Bug,Resolved
TIKA-3226,4,0.9996,1e-04,1e-04,1e-04,1e-04,0.9996,1e-04,1e-04,True,False,False,New Feature,Resolved
TIKA-3216,1,0.9986,0.0002,0.9986,0.0002,0.0002,0.0002,0.0002,0.0002,True,False,False,Task,Resolved
TIKA-3176,1,0.9967,0.0006,0.9967,0.0006,0.0006,0.0006,0.0006,0.0006,False,True,False,Improvement,Resolved
TIKA-3143,4,0.9989,0.0002,0.0002,0.0002,0.0002,0.9989,0.0002,0.0002,True,False,True,Task,Open
TIKA-3137,1,0.9994,1e-04,0.9994,1e-04,1e-04,1e-04,1e-04,1e-04,True,True,False,Task,Resolved
TIKA-3062,3,0.9984,0.0003,0.0003,0.0003,0.9984,0.0003,0.0003,0.0003,False,True,False,Task,Open
TIKA-3083,1,0.999,0.0002,0.999,0.0002,0.0002,0.0002,0.0002,0.0002,True,False,True,Task,Resolved
TIKA-3054,1,0.9832,0.0,0.9832,0.0,0.0166,0.0,0.0,0.0,False,True,True,Bug,Resolved
TIKA-3053,1,0.8171,1e-04,0.8171,1e-04,0.1827,1e-04,1e-04,1e-04,False,True,True,Bug,Closed
TIKA-3019,2,0.8613,1e-04,1e-04,0.8613,0.1384,1e-04,1e-04,1e-04,False,True,True,Bug,Open
TIKA-3018,2,0.8431,1e-04,1e-04,0.8431,0.1566,1e-04,1e-04,1e-04,False,True,True,Bug,Closed
TIKA-2956,3,0.6451,1e-04,0.3545,1e-04,0.6451,1e-04,1e-04,1e-04,False,True,True,Bug,Resolved
TIKA-2953,3,0.7159,0.201,0.0003,0.0003,0.7159,0.0819,0.0003,0.0003,False,True,True,Bug,Resolved
TIKA-2952,3,0.9974,0.0004,0.0004,0.0004,0.9974,0.0004,0.0004,0.0004,False,True,True,Bug,Resolved
TIKA-2930,1,0.8497,0.0003,0.8497,0.0003,0.0003,0.0003,0.0003,0.1488,True,False,False,Improvement,Open
TIKA-2890,3,0.6565,0.0007,0.0007,0.0007,0.6565,0.0007,0.34,0.0007,False,True,True,Improvement,Resolved
TIKA-2885,3,0.9987,0.0002,0.0002,0.0002,0.9987,0.0002,0.0002,0.0002,False,True,True,Bug,Resolved
TIKA-2877,4,0.7371,1e-04,1e-04,0.0638,0.1987,0.7371,1e-04,1e-04,False,True,True,Bug,Resolved
TIKA-2841,4,0.6337,0.3047,0.0004,0.0601,0.0004,0.6337,0.0004,0.0004,False,True,True,Task,Resolved
TIKA-2833,1,0.9975,0.0004,0.9975,0.0004,0.0004,0.0004,0.0004,0.0004,False,True,False,Task,Resolved
TIKA-2762,1,0.8935,0.0002,0.8935,0.0002,0.0002,0.0002,0.0002,0.1054,True,True,False,Improvement,Resolved
TIKA-2749,4,0.9982,0.0003,0.0003,0.0003,0.0003,0.9982,0.0003,0.0003,True,False,False,Task,Open
TIKA-2725,1,0.9991,0.0002,0.9991,0.0002,0.0002,0.0002,0.0002,0.0002,False,True,True,Task,Resolved
TIKA-2720,4,0.9989,0.0002,0.0002,0.0002,0.0002,0.9989,0.0002,0.0002,True,False,False,New Feature,Open
TIKA-2717,1,0.5947,0.0,0.5947,0.1288,0.2763,0.0,0.0,0.0,False,True,True,Bug,Resolved
