topic,term,probability
0,TECHNOLOGY,0.0426
0,DATA,0.037
0,COMPONENT,0.028
0,parser,0.0277
0,document,0.0233
0,content,0.0181
0,CONNECTOR,0.0164
0,image,0.0155
0,case,0.0149
0,embedded,0.0145
1,COMPONENT,0.0959
1,TECHNOLOGY,0.0341
1,DATA,0.028
1,CONNECTOR,0.0264
1,metadata,0.0179
1,QUALITY_ATTRIBUTE,0.0168
1,type,0.0143
1,SOLUTION,0.0099
1,text,0.0098
1,parser,0.0091
2,property,0.0559
2,log,0.0519
2,COMPONENT,0.05
2,core,0.0391
2,DATA,0.0292
2,code,0.0219
2,metadata,0.0218
2,CONNECTOR,0.019
2,image,0.0185
2,version,0.017
3,COMPONENT,0.0493
3,version,0.0395
3,vulnerability,0.0348
3,cve,0.0344
3,vulnerable,0.0285
3,sonatype,0.0255
3,DATA,0.0232
3,TECHNOLOGY,0.0224
3,jar,0.02
3,SOLUTION,0.0193
4,COMPONENT,0.1019
4,parser,0.0458
4,CONNECTOR,0.0368
4,TECHNOLOGY,0.032
4,SOLUTION,0.0252
4,DATA,0.0248
4,metadata,0.0135
4,parse,0.0098
4,QUALITY_ATTRIBUTE,0.009
4,content,0.0084
5,test,0.1133
5,pdf,0.0945
5,COMPONENT,0.064
5,type,0.0416
5,probability,0.0252
5,QUALITY_ATTRIBUTE,0.0229
5,prior,0.015
5,order,0.0126
5,magic,0.0126
5,byte,0.0126
6,memory,0.0318
6,text,0.0294
6,DATA,0.0282
6,document,0.0269
6,TECHNOLOGY,0.0257
6,excel,0.0248
6,frame,0.0194
6,currently,0.0175
6,COMPONENT,0.0163
6,parser,0.0162
