issue_key,dominant_topic,dominant_prob,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob,topic_6_prob,topic_7_prob,topic_8_prob,topic_9_prob
TIKA-3521,1,0.9972,0.0003,0.9972,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
TIKA-3610,4,0.997,0.0003,0.0003,0.0003,0.0003,0.997,0.0003,0.0003,0.0003,0.0003,0.0003
TIKA-3601,0,0.5953,0.5953,0.001,0.001,0.001,0.001,0.001,0.001,0.3967,0.001,0.001
TIKA-3584,2,0.998,0.0002,0.0002,0.998,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-3558,3,0.9974,0.0003,0.0003,0.0003,0.9974,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
TIKA-3553,2,0.9968,0.0004,0.0004,0.9968,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
TIKA-3527,6,0.5425,0.0002,0.0002,0.0002,0.0002,0.2973,0.1589,0.5425,0.0002,0.0002,0.0002
TIKA-3491,7,0.6022,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.3953,0.6022,0.0003,0.0003
TIKA-3488,1,0.4669,0.0004,0.4669,0.0004,0.0004,0.1374,0.0004,0.3932,0.0004,0.0004,0.0004
TIKA-3448,7,0.9985,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9985,0.0002,0.0002
TIKA-3416,2,0.9992,0.0001,0.0001,0.9992,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
TIKA-3375,1,0.5187,0.0004,0.5187,0.0004,0.0004,0.0004,0.0004,0.0004,0.4785,0.0004,0.0004
TIKA-3370,8,0.9987,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9987,0.0001
TIKA-3352,7,0.8207,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.8207,0.1782,0.0001
TIKA-3348,3,0.8315,0.0001,0.0001,0.1677,0.8315,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
TIKA-3325,2,0.997,0.0003,0.0003,0.997,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
TIKA-3313,3,0.999,0.0001,0.0001,0.0001,0.999,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
TIKA-3304,2,0.978,0.0024,0.0024,0.978,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024
TIKA-3301,3,0.9983,0.0002,0.0002,0.0002,0.9983,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-3270,2,0.5152,0.0001,0.0001,0.5152,0.0001,0.4837,0.0001,0.0001,0.0001,0.0001,0.0001
TIKA-3242,8,0.6571,0.0004,0.0004,0.0004,0.0004,0.0004,0.3399,0.0004,0.0004,0.6571,0.0004
TIKA-3237,1,0.9987,0.0001,0.9987,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
TIKA-3236,6,0.9873,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.9873,0.0014,0.0014,0.0014
TIKA-3232,6,0.998,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.998,0.0002,0.0002,0.0002
TIKA-3226,5,0.9994,0.0001,0.0001,0.0001,0.0001,0.0001,0.9994,0.0001,0.0001,0.0001,0.0001
TIKA-3216,1,0.9979,0.0002,0.9979,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-3176,9,0.995,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.995
TIKA-3143,8,0.9984,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9984,0.0002
TIKA-3137,2,0.9991,0.0001,0.0001,0.9991,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
TIKA-3062,0,0.9976,0.9976,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
TIKA-3083,4,0.9985,0.0002,0.0002,0.0002,0.0002,0.9985,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-3054,9,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998
TIKA-3053,6,0.7187,0.0001,0.0001,0.0001,0.0001,0.2809,0.0001,0.7187,0.0001,0.0001,0.0001
TIKA-3019,7,0.9995,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9995,0.0001,0.0001
TIKA-3018,7,0.9995,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9995,0.0001,0.0001
TIKA-2956,4,0.9993,0.0001,0.0001,0.0001,0.0001,0.9993,0.0001,0.0001,0.0001,0.0001,0.0001
TIKA-2953,7,0.6219,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.3758,0.6219,0.0003,0.0003
TIKA-2952,7,0.9961,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9961,0.0004,0.0004
TIKA-2930,8,0.9973,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.9973,0.0003
TIKA-2890,6,0.9936,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.9936,0.0007,0.0007,0.0007
TIKA-2885,8,0.5458,0.0002,0.0002,0.0002,0.0002,0.4525,0.0002,0.0002,0.0002,0.5458,0.0002
TIKA-2877,1,0.7012,0.0001,0.7012,0.0001,0.0001,0.0001,0.0001,0.0001,0.298,0.0001,0.0001
TIKA-2841,9,0.9964,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9964
TIKA-2833,0,0.9963,0.9963,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
TIKA-2762,1,0.6898,0.0002,0.6898,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.3085,0.0002
TIKA-2749,9,0.5195,0.0003,0.0003,0.4782,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.5195
TIKA-2725,4,0.9986,0.0002,0.0002,0.0002,0.0002,0.9986,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-2720,8,0.9983,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9983,0.0002
TIKA-2717,4,0.9996,0.0,0.0,0.0,0.0,0.9996,0.0,0.0,0.0,0.0,0.0
TIKA-2686,4,0.9987,0.0001,0.0001,0.0001,0.0001,0.9987,0.0001,0.0001,0.0001,0.0001,0.0001
TIKA-2662,7,0.7257,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.7257,0.2725,0.0002
TIKA-2585,5,0.9988,0.0001,0.0001,0.0001,0.0001,0.0001,0.9988,0.0001,0.0001,0.0001,0.0001
TIKA-2577,4,0.9991,0.0001,0.0001,0.0001,0.0001,0.9991,0.0001,0.0001,0.0001,0.0001,0.0001
TIKA-2514,8,0.9987,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9987,0.0001
TIKA-2499,4,0.9998,0.0,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,0.0,0.0
TIKA-2434,6,0.9978,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9978,0.0002,0.0002,0.0002
TIKA-2402,8,0.9431,0.0003,0.0541,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.9431,0.0003
TIKA-2400,8,0.9968,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9968,0.0004
TIKA-2398,8,0.9995,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9995,0.0001
TIKA-2369,7,0.9981,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9981,0.0002,0.0002
TIKA-2349,1,0.6383,0.3605,0.6383,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
TIKA-2322,1,0.9984,0.0002,0.9984,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-2263,5,0.9991,0.0001,0.0001,0.0001,0.0001,0.0001,0.9991,0.0001,0.0001,0.0001,0.0001
TIKA-2222,8,0.9993,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9993,0.0001
TIKA-2075,9,0.7632,0.0007,0.2315,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.7632
TIKA-2021,1,0.9062,0.0002,0.9062,0.0922,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-2016,5,0.5302,0.0006,0.0006,0.0006,0.0006,0.0006,0.5302,0.4654,0.0006,0.0006,0.0006
TIKA-1993,2,0.9975,0.0003,0.0003,0.9975,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
TIKA-1978,0,0.8668,0.8668,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.1313,0.0002,0.0002
TIKA-1954,5,0.9967,0.0004,0.0004,0.0004,0.0004,0.0004,0.9967,0.0004,0.0004,0.0004,0.0004
TIKA-1913,1,0.9981,0.0002,0.9981,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-1909,8,0.9957,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.9957,0.0005
TIKA-1903,8,0.8425,0.0005,0.0005,0.1537,0.0005,0.0005,0.0005,0.0005,0.0005,0.8425,0.0005
TIKA-1814,4,0.5568,0.0001,0.0001,0.0001,0.0001,0.5568,0.0001,0.0001,0.0001,0.4421,0.0001
TIKA-1797,0,0.9983,0.9983,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-1744,4,0.9973,0.0003,0.0003,0.0003,0.0003,0.9973,0.0003,0.0003,0.0003,0.0003,0.0003
TIKA-1734,4,0.9982,0.0002,0.0002,0.0002,0.0002,0.9982,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-1722,7,0.9989,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9989,0.0001,0.0001
TIKA-1691,3,0.9996,0.0,0.0,0.0,0.9996,0.0,0.0,0.0,0.0,0.0,0.0
TIKA-1683,8,0.9947,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.9947,0.0006
TIKA-1680,9,0.9993,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9993
TIKA-1668,8,0.9957,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.9957,0.0005
TIKA-1629,3,0.9976,0.0003,0.0003,0.0003,0.9976,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
TIKA-1614,0,0.9995,0.9995,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
TIKA-1610,1,0.9997,0.0,0.9997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIKA-1609,0,0.5003,0.5003,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.4983,0.0002
TIKA-1607,0,0.9993,0.9993,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
TIKA-1582,7,0.8911,0.0,0.0,0.0,0.0,0.1087,0.0,0.0,0.8911,0.0,0.0
TIKA-1580,6,0.9994,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9994,0.0001,0.0001,0.0001
