topic,term,probability
0,metadata,0.0339
0,code,0.0225
0,name,0.0203
0,string,0.0178
0,exif,0.0171
0,property,0.0162
0,number,0.0136
0,geo,0.0133
0,parser,0.0124
0,object,0.0118
1,file,0.0195
1,text,0.0174
1,parser,0.0155
1,cbor,0.0145
1,content,0.0129
1,string,0.0119
1,type,0.0097
1,page,0.0073
1,detection,0.0073
1,extraction,0.0071
2,image,0.0446
2,embedded,0.0221
2,content,0.0211
2,text,0.0179
2,ocr,0.0176
2,user,0.0166
2,pdfs,0.0149
2,metadata,0.0136
2,page,0.0122
2,option,0.0108
3,metadata,0.056
3,mapping,0.0172
3,java,0.0141
3,stream,0.0127
3,file,0.0114
3,method,0.0107
3,document,0.0104
3,process,0.0101
3,xml,0.0095
3,field,0.0087
4,file,0.0191
4,sonatype,0.0147
4,java,0.0146
4,vulnerable,0.0139
4,version,0.0134
4,jar,0.011
4,component,0.0109
4,server,0.0107
4,cve,0.0104
4,data,0.0096
5,document,0.0314
5,file,0.0284
5,parser,0.0223
5,stream,0.0203
5,cache,0.0172
5,input,0.0159
5,zip,0.0128
5,parse,0.0121
5,memory,0.0117
5,metadata,0.0105
6,test,0.0521
6,pdf,0.0416
6,file,0.0367
6,type,0.0282
6,property,0.021
6,core,0.0182
6,vulnerability,0.0121
6,probability,0.0116
6,parser,0.0113
6,common,0.0092
7,log,0.0408
7,file,0.0353
7,version,0.0272
7,cve,0.0211
7,type,0.0159
7,vulnerability,0.0131
7,data,0.0127
7,model,0.0125
7,metadata,0.0123
7,vulnerable,0.0112
8,parser,0.0769
8,metadata,0.0244
8,content,0.0118
8,field,0.0093
8,text,0.0093
8,handler,0.0091
8,object,0.0088
8,document,0.0085
8,user,0.0083
8,type,0.0082
9,parser,0.02
9,file,0.0145
9,content,0.0121
9,html,0.012
9,code,0.0117
9,configuration,0.0112
9,xml,0.0112
9,application,0.0106
9,document,0.0097
9,text,0.0097
