issue_key,dominant_topic,dominant_prob,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob,topic_6_prob
TIKA-3521,4,0.9981,0.0003,0.0003,0.0003,0.0003,0.9981,0.0003,0.0003
TIKA-3610,1,0.998,0.0003,0.998,0.0003,0.0003,0.0003,0.0003,0.0003
TIKA-3601,1,0.994,0.001,0.994,0.001,0.001,0.001,0.001,0.001
TIKA-3584,1,0.7784,0.0002,0.7784,0.0002,0.0002,0.0002,0.0002,0.2205
TIKA-3558,1,0.9983,0.0003,0.9983,0.0003,0.0003,0.0003,0.0003,0.0003
TIKA-3553,3,0.9979,0.0004,0.0004,0.0004,0.9979,0.0004,0.0004,0.0004
TIKA-3527,1,0.9988,0.0002,0.9988,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-3491,1,0.9609,0.0003,0.9609,0.0375,0.0003,0.0003,0.0003,0.0003
TIKA-3488,5,0.9979,0.0004,0.0004,0.0004,0.0004,0.0004,0.9979,0.0004
TIKA-3448,1,0.9177,0.0002,0.9177,0.0814,0.0002,0.0002,0.0002,0.0002
TIKA-3416,3,0.9994,0.0001,0.0001,0.0001,0.9994,0.0001,0.0001,0.0001
TIKA-3375,1,0.6876,0.0004,0.6876,0.0004,0.3107,0.0004,0.0004,0.0004
TIKA-3370,1,0.9991,0.0001,0.9991,0.0001,0.0001,0.0001,0.0001,0.0001
TIKA-3352,2,0.9992,0.0001,0.0001,0.9992,0.0001,0.0001,0.0001,0.0001
TIKA-3348,1,0.6751,0.0001,0.6751,0.1225,0.0001,0.2021,0.0001,0.0001
TIKA-3325,4,0.998,0.0003,0.0003,0.0003,0.0003,0.998,0.0003,0.0003
TIKA-3313,6,0.9993,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9993
TIKA-3304,3,0.9853,0.0025,0.0025,0.0025,0.9853,0.0025,0.0025,0.0025
TIKA-3301,6,0.9988,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9988
TIKA-3270,5,0.9992,0.0001,0.0001,0.0001,0.0001,0.0001,0.9992,0.0001
TIKA-3242,4,0.5866,0.0004,0.0004,0.0004,0.4114,0.5866,0.0004,0.0004
TIKA-3237,1,0.6706,0.0001,0.6706,0.0001,0.0001,0.3287,0.0001,0.0001
TIKA-3236,3,0.9915,0.0014,0.0014,0.0014,0.9915,0.0014,0.0014,0.0014
TIKA-3232,1,0.7058,0.2931,0.7058,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-3226,5,0.9996,0.0001,0.0001,0.0001,0.0001,0.0001,0.9996,0.0001
TIKA-3216,0,0.9986,0.9986,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-3176,0,0.9967,0.9967,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
TIKA-3143,1,0.9989,0.0002,0.9989,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-3137,1,0.5866,0.0001,0.5866,0.0001,0.0001,0.2528,0.0001,0.1601
TIKA-3062,2,0.9984,0.0003,0.0003,0.9984,0.0003,0.0003,0.0003,0.0003
