model,topic,decision,n_topic,n_topic_with_decision,pct_topic_with_decision,odds_ratio,p_value,p_adj,significant
LDA,0,existence,17,10,58.8,0.655,0.4252,0.85457,False
LDA,1,existence,63,44,69.8,1.146,0.7486,0.92474,False
LDA,2,existence,9,6,66.7,0.949,1.0,1.0,False
LDA,3,existence,21,6,28.6,0.155,0.00012,0.00126,True
LDA,4,existence,89,70,78.7,2.473,0.00454,0.03178,True
LDA,5,existence,4,2,50.0,0.468,0.5957,0.92474,False
LDA,6,existence,8,5,62.5,0.785,0.71446,0.92474,False
LDA,0,property,17,8,47.1,1.214,0.79985,0.93316,False
LDA,1,property,63,24,38.1,0.765,0.44763,0.85457,False
LDA,2,property,9,3,33.3,0.661,0.73566,0.92474,False
LDA,3,property,21,15,71.4,3.833,0.00906,0.04756,True
LDA,4,property,89,32,36.0,0.619,0.12087,0.36261,False
LDA,5,property,4,4,100.0,inf,0.03184,0.13373,False
LDA,6,property,8,4,50.0,1.36,0.72587,0.92474,False
LDA,0,executive,17,4,23.5,0.597,0.435,0.85457,False
LDA,1,executive,63,20,31.7,0.912,0.87335,0.96528,False
LDA,2,executive,9,3,33.3,1.007,1.0,1.0,False
LDA,3,executive,21,16,76.2,8.059,3e-05,0.00063,True
LDA,4,executive,89,24,27.0,0.61,0.10653,0.36261,False
LDA,5,executive,4,2,50.0,2.044,0.60115,0.92474,False
LDA,6,executive,8,1,12.5,0.277,0.27468,0.72104,False
BERTopic,0,existence,44,32,72.7,1.345,0.47323,0.58458,False
BERTopic,1,existence,35,31,88.6,4.429,0.00299,0.00939,True
BERTopic,2,existence,33,2,6.1,0.017,0.0,0.0,True
BERTopic,3,existence,31,28,90.3,5.275,0.00313,0.00939,True
BERTopic,4,existence,29,22,75.9,1.584,0.39481,0.51819,False
BERTopic,5,existence,22,19,86.4,3.32,0.05513,0.11953,False
BERTopic,6,existence,17,9,52.9,0.504,0.1843,0.30377,False
BERTopic,0,property,44,18,40.9,0.913,0.86473,0.95575,False
BERTopic,1,property,35,6,17.1,0.227,0.0007,0.00368,True
BERTopic,2,property,33,32,97.0,66.207,0.0,0.0,True
BERTopic,3,property,31,7,22.6,0.341,0.01768,0.04641,True
BERTopic,4,property,29,12,41.4,0.941,1.0,1.0,False
BERTopic,5,property,22,5,22.7,0.36,0.06672,0.12737,False
BERTopic,6,property,17,10,58.8,2.036,0.20267,0.30401,False
BERTopic,0,executive,44,12,27.3,0.705,0.37514,0.51819,False
BERTopic,1,executive,35,10,28.6,0.773,0.56288,0.65669,False
BERTopic,2,executive,33,30,90.9,34.5,0.0,0.0,True
BERTopic,3,executive,31,3,9.7,0.181,0.00183,0.00769,True
BERTopic,4,executive,29,5,17.2,0.375,0.05692,0.11953,False
BERTopic,5,executive,22,7,31.8,0.933,1.0,1.0,False
BERTopic,6,executive,17,3,17.6,0.406,0.18805,0.30377,False
